,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
551,1024,4.0,20506,36.42025639599888,"[np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",75,1024,19
552,0,1.0,20506,36.475834930999554,"[np.int64(1), np.int64(0), np.int64(1), np.int64(1)]",75,1024,20
553,1,1.0,20507,36.533501838999655,"[np.int64(1), np.int64(0), np.int64(1), np.int64(1)]",75,1024,20
554,2,1.0,20508,36.59092659199814,"[np.int64(1), np.int64(0), np.int64(1), np.int64(1)]",75,1024,20
555,4,1.0,20510,36.650921439999365,"[np.int64(1), np.int64(0), np.int64(1), np.int64(1)]",75,1024,20
556,8,4.0,20515,36.71476922899819,"[np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",75,1024,20
557,16,4.0,20523,36.78897644699828,"[np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",75,1024,20
558,32,4.0,20539,36.882817918998626,"[np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",75,1024,20
559,64,4.0,20571,37.01702159100023,"[np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",75,1024,20
560,128,4.0,20635,37.23039506599889,"[np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",75,1024,20
561,256,4.0,20763,37.608829097000125,"[np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",75,1024,20
562,512,4.0,21019,38.30947271199693,"[np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",75,1024,20
563,1024,4.0,21531,39.69886489399869,"[np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",75,1024,20
564,0,1.0,21531,39.756890003998706,"[np.int64(0), np.int64(1), np.int64(1), np.int64(0)]",75,1024,21
565,1,2.0,21533,39.81704159599758,"[np.int64(0), np.int64(1), np.int64(0), np.int64(0)]",75,1024,21
566,2,2.0,21534,39.87747197799763,"[np.int64(0), np.int64(1), np.int64(0), np.int64(0)]",75,1024,21
567,4,2.0,21536,39.940221922999626,"[np.int64(0), np.int64(1), np.int64(0), np.int64(0)]",75,1024,21
568,8,4.0,21541,40.00776666099773,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0)]",75,1024,21
569,16,4.0,21549,40.08577603199956,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0)]",75,1024,21
570,32,4.0,21565,40.18595362799897,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0)]",75,1024,21
571,64,4.0,21597,40.330190628999844,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0)]",75,1024,21
572,128,4.0,21661,40.5622605369972,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0)]",75,1024,21
573,256,4.0,21789,40.969041378997645,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0)]",75,1024,21
574,512,4.0,22045,41.7171380539985,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0)]",75,1024,21
575,1024,4.0,22557,43.17667224699835,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0)]",75,1024,21
576,0,6.0,22557,43.23557151299974,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,22
577,1,6.0,22558,43.29746665199855,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,22
578,2,6.0,22559,43.35891333999825,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,22
579,4,6.0,22561,43.42357989899756,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,22
580,8,6.0,22565,43.494134098997165,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,22
581,16,6.0,22573,43.576122223999846,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,22
582,32,6.0,22589,43.67998556800012,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,22
583,64,6.0,22621,43.82722631499928,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,22
584,128,6.0,22685,44.06640200000038,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,22
585,256,6.0,22813,44.48226976099977,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,22
586,512,6.0,23069,45.25856490099977,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,22
587,1024,6.0,23581,46.80536087299697,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,22
588,0,0.0,23581,46.86549276000005,"[np.int64(0), np.int64(1), np.int64(1), np.int64(1)]",75,1024,23
589,1,1.0,23583,46.92750921199695,"[np.int64(0), np.int64(1), np.int64(1), np.int64(0)]",75,1024,23
590,2,2.0,23585,46.990788650997274,"[np.int64(0), np.int64(1), np.int64(0), np.int64(0)]",75,1024,23
591,4,4.0,23588,47.0554696170002,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0)]",75,1024,23
592,8,4.0,23592,47.12591455799702,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0)]",75,1024,23
593,16,4.0,23600,47.20883293699808,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0)]",75,1024,23
594,32,4.0,23616,47.31459022499985,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0)]",75,1024,23
595,64,4.0,23648,47.468992848997004,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0)]",75,1024,23
596,128,4.0,23712,47.71943900399856,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0)]",75,1024,23
597,256,4.0,23840,48.15085317699777,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0)]",75,1024,23
598,512,4.0,24096,48.96787405299983,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0)]",75,1024,23
599,1024,4.0,24608,50.55320017199847,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0)]",75,1024,23
600,0,3.0,24608,50.615149915000075,"[np.int64(1), np.int64(1), np.int64(1), np.int64(0)]",75,1024,24
601,1,3.0,24609,50.67905333899762,"[np.int64(1), np.int64(1), np.int64(1), np.int64(0)]",75,1024,24
602,2,4.0,24611,50.7435327259991,"[np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",75,1024,24
603,4,4.0,24613,50.80983700899742,"[np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",75,1024,24
604,8,4.0,24617,50.88142558499749,"[np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",75,1024,24
605,16,4.0,24625,50.96645390199774,"[np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",75,1024,24
606,32,4.0,24641,51.07453104399974,"[np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",75,1024,24
607,64,4.0,24673,51.2324993229995,"[np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",75,1024,24
608,128,4.0,24737,51.486919008999394,"[np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",75,1024,24
609,256,4.0,24865,51.940962054999545,"[np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",75,1024,24
610,512,4.0,25121,52.79648215199995,"[np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",75,1024,24
611,1024,4.0,25633,54.45783248999942,"[np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",75,1024,24
612,0,3.0,25633,54.52215364899894,"[np.int64(1), np.int64(0), np.int64(0), np.int64(0)]",75,1024,25
613,1,6.0,25635,54.58789567399799,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,25
614,2,6.0,25636,54.653828053000325,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,25
615,4,6.0,25638,54.72295232199758,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,25
